question_id,question,answer1,answer2,answer3,answer4,total_time
1,Numpy array-ի size բնութագրիչը (attribute) ցույց է տալիս,array-ի ձևը ,array-ի տարրերի քանակը,array-ի տողերի քանակը,Նշվածներից ոչ մեկը,60.0
2,Ինչպե՞ս կարելի է հասնել հետևյալ զանգվածի 5 արժեքին,x[ 5 ],"x[ 1, 0 ]","x[ 2, 3 ]","x[ 2, 1 ]",60.0
3,Ինչպե՞ս կարելի է հասնել հետևյալ զանգվածի 15 արժեքին,"y[ 4, 4 ]","y[ 2, 1, 4 ]","y[ 1, 0, 3 ]","y[ 0, 3, 1 ]",60.0
4,Ո՞րն է list-ի և array-ի հիմնական տարբերությունը,"ի տարբերություն list-ի, array-ը immutable է",array-ների վրա չի լինում կիրառել մեթոդներ,array-ը պետք է պարունակի համասեռ տվյալներ,"ի տարբերություն array-ի, list-ը immutable է",60.0
5,"Դիցուք՝ A = np.array([[1,2],[3,4]]), ի՞նչ կլինի այս հրամանի արդյունքում print(A[1,:]) ","1,2","3,4","1,3","2,4",60.0
6,"Դիցուք՝ a = np.linspace(1,10,10), ի՞նչ կլինի այս հրամանի արդյունքում print(a[a<5])",[True True True True False False False False False False False],[1. 2. 3. 4.],[6. 7. 8. 9. 10.],[1. 2. 3. 4. 5.],60.0
7,"Ինչպե՞ս կարելի է ձևափոխել 10 երկարությամբ x միաչափ զանգվածն այնպես, որ այն ունենա 5 տող և 2 սյուն","np.reshape((2, 5))","x.reshape((5, 2))","x.reshape(2, 5)","np.reshape(x)[5, 2]",60.0
8,Նշվածներից ո՞րը կստեղծի 5 հատ 1-երից կազմված միաչափ numpy array,np.ones(5),np.zeros(5) + 1,"np.full(5, 1)",Նշվածներից բոլորը,60.0
9,Նշվածներից ո՞ր հրամանով կարելի է ստեղծել պատկերված զանգվածից,"np.array([1,2,3,4,5,6,7,8,9]).reshape(3,3)","np.arange(2, 11,3)","np.arange(2, 11).reshape(3,3)","np.arange(2, 11).shape(3)",60.0
10,"Դիցուք՝ A = np.array([[1, 2], [3, 4]]), ի՞նչ կլինի A֊ի հետ հետևյալ հրամանից հետո A[:,1]=2",Error,"[[1, 2], [3, 2]]","[[1., 2.], [2., 2.]]","[[2., 2.], [1., 2.]]",60.0
